0,000000;0,000000
0,070711;0,070711
0,141421;0,140421
0,212132;0,209132
0,282843;0,276843
0,353554;0,343553
0,424264;0,409264
0,494975;0,473974
0,565686;0,537685
0,636397;0,600396
0,707107;0,662106
0,777818;0,722817
0,848529;0,782528
0,919239;0,841238
0,989950;0,898949
1,060661;0,955659
1,131372;1,011370
1,202082;1,066081
1,272793;1,119791
1,343504;1,172502
1,414215;1,224213
1,484925;1,274923
1,555636;1,324634
1,626347;1,373345
1,697057;1,421055
1,767768;1,467766
1,838479;1,513476
1,909190;1,558187
1,979900;1,601898
2,050611;1,644608
2,121322;1,686319
2,192032;1,727030
2,262743;1,766740
2,333454;1,805451
2,404165;1,843161
2,474875;1,879872
2,545586;1,915583
2,616297;1,950293
2,687008;1,984004
2,757718;2,016715
2,828429;2,048425
2,899140;2,079136
2,969850;2,108847
3,040561;2,137557
3,111272;2,165268
3,181983;2,191978
3,252693;2,217689
3,323404;2,242400
3,394115;2,266110
3,464826;2,288821
3,535536;2,310532
3,606247;2,331242
3,676958;2,350953
3,747668;2,369663
3,818379;2,387374
3,889090;2,404085
3,959801;2,419795
4,030511;2,434506
4,101222;2,448217
4,171933;2,460927
4,242644;2,472638
4,313354;2,483349
4,384065;2,493059
4,454776;2,501770
4,525486;2,509480
4,596197;2,516191
4,666908;2,521902
4,737619;2,526612
4,808329;2,530323
4,879040;2,533034
4,949751;2,534744
5,020461;2,535455
5,091172;2,535165
5,161883;2,533876
5,232594;2,531587
5,303304;2,528297
5,374015;2,524008
5,444726;2,518719
5,515437;2,512429
5,586147;2,505140
5,656858;2,496850
5,727569;2,487561
5,798279;2,477272
5,868990;2,465982
5,939701;2,453693
6,010412;2,440404
6,081122;2,426114
6,151833;2,410825
6,222544;2,394536
6,293255;2,377246
6,363965;2,358957
6,434676;2,339667
6,505387;2,319378
6,576097;2,298089
6,646808;2,275799
6,717519;2,252510
6,788230;2,228221
6,858940;2,202931
6,929651;2,176642
7,000362;2,149352
7,071073;2,121063
7,141783;2,091774
7,212494;2,061484
7,283205;2,030195
7,353915;1,997906
7,424626;1,964616
7,495337;1,930327
7,566048;1,895038
7,636758;1,858748
7,707469;1,821459
7,778180;1,783169
7,848890;1,743880
7,919601;1,703591
7,990312;1,662301
8,061023;1,620012
8,131733;1,576723
8,202444;1,532433
8,273155;1,487144
8,343866;1,440854
8,414576;1,393565
8,485287;1,345276
8,555998;1,295986
8,626708;1,245697
8,697419;1,194408
8,768130;1,142118
8,838841;1,088829
8,909551;1,034540
8,980262;0,979250
9,050973;0,922961
9,121684;0,865671
9,192394;0,807382
9,263105;0,748093
9,333816;0,687803
9,404526;0,626514
9,475237;0,564225
9,545948;0,500935
9,616659;0,436646
9,687369;0,371356
9,758080;0,305067
9,828791;0,237778
9,899502;0,169488
9,970212;0,100199
