0,000000 0,000000
0,070675;0,070175
0,141280;0,139280
0,211814;0,207316
0,282278;0,274284
0,352671;0,340185
0,422993;0,405020
0,493246;0,468791
0,563428;0,531497
0,633540;0,593141
0,703582;0,653723
0,773554;0,713245
0,843455;0,771707
0,913287;0,829110
0,983049;0,885456
1,052742;0,940746
1,122364;0,994981
1,191917;1,048161
1,261401;1,100288
1,330815;1,151363
1,400159;1,201387
1,469435;1,250361
1,538640;1,298286
1,607777;1,345163
1,676845;1,390993
1,745843;1,435777
1,814773;1,479517
1,883633;1,522212
1,952425;1,563866
2,021148;1,604477
2,089802;1,644048
2,158388;1,682579
2,226905;1,720072
2,295353;1,756527
2,363733;1,791946
2,432045;1,826329
2,500288;1,859678
2,568463;1,891994
2,636570;1,923277
2,704609;1,953529
2,772580;1,982751
2,840483;2,010943
2,908318;2,038107
2,976085;2,064245
3,043784;2,089356
3,111415;2,113442
3,178979;2,136503
3,246476;2,158542
3,313905;2,179559
3,381266;2,199555
3,448560;2,218530
3,515787;2,236487
3,582947;2,253426
3,650039;2,269348
3,717064;2,284254
3,784023;2,298145
3,850914;2,311022
3,917739;2,322886
3,984496;2,333738
4,051187;2,343580
4,117811;2,352412
4,184369;2,360235
4,250860;2,367050
4,317284;2,372858
4,383642;2,377660
4,449934;2,381458
4,516160;2,384252
4,582319;2,386043
4,648412;2,386832
4,714439;2,386620
4,780400;2,385409
4,846295;2,383199
4,912124;2,379991
4,977887;2,375786
5,043584;2,370586
5,109216;2,364390
5,174782;2,357201
5,240283;2,349019
5,305718;2,339846
5,371088;2,329681
5,436392;2,318527
5,501631;2,306383
5,566805;2,293252
5,631913;2,279134
5,696957;2,264030
5,761935;2,247942
5,826849;2,230869
5,891697;2,212813
5,956481;2,193776
6,021200;2,173757
6,085854;2,152759
6,150443;2,130781
6,214968;2,107826
6,279429;2,083893
6,343825;2,058985
6,408156;2,033101
6,472423;2,006243
6,536626;1,978412
6,600765;1,949609
6,664840;1,919835
6,728850;1,889090
6,792797;1,857376
6,856679;1,824694
6,920498;1,791045
6,984253;1,756429
7,047944;1,720848
7,111571;1,684302
7,175135;1,646793
7,238635;1,608322
7,302072;1,568889
7,365445;1,528495
7,428755;1,487142
7,492002;1,444830
7,555185;1,401561
7,618306;1,357334
7,681363;1,312152
7,744357;1,266015
7,807288;1,218925
7,870156;1,170881
7,932961;1,121885
7,995703;1,071939
8,058383;1,021042
8,121000;0,969196
8,183554;0,916402
8,246046;0,862661
8,308476;0,807974
8,370842;0,752341
8,433147;0,695764
8,495389;0,638244
8,557569;0,579781
8,619687;0,520376
8,681743;0,460031
8,743736;0,398746
8,805668;0,336523
8,867538;0,273362
8,929345;0,209263
8,991091;0,144230
9,052776;0,078261
9,114398;0,011358
